Change Component Footprint: Designator=XS2 Old Footprint=smd1.27-edge_2*2pin New Footprint=CON: PLL-6(2x3R1.27male)
Change Component Footprint: Designator=XS3 Old Footprint=smd1.27-edge_2*2pin New Footprint=CON: PLL-6(2x3R1.27male)
Change Component Footprint: Designator=XS4 Old Footprint=smd1.27-edge_2*2pin New Footprint=CON: PLL-6(2x3R1.27male)
Change Component Footprint: Designator=XS5 Old Footprint=smd1.27-edge_2*2pin New Footprint=CON: PLL-6(2x3R1.27male)
Change Component Comment : Designator=XS2 Old Comment=smd1.27-edge_2*2pin New Comment=2199R05-06G-301523
Change Component Comment : Designator=XS3 Old Comment=smd1.27-edge_2*2pin New Comment=2199R05-06G-301523
Change Component Comment : Designator=XS4 Old Comment=smd1.27-edge_2*2pin New Comment=2199R05-06G-301523
Change Component Comment : Designator=XS5 Old Comment=smd1.27-edge_2*2pin New Comment=2199R05-06G-301523
Change component parameters: Designator = "DA1" ("DA1"); Footprint = "SOT23-6"; UniqueID = "\PKVVKRDB" ("\PKVVKRDB")
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "-55 to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TKR"; Value = "±100 ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "27"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=GND New Net Name=2
Change Net Name : Old Net Name=NetC3_2 New Net Name=1
Change Net Name : Old Net Name=NetR3_2 New Net Name=3
Change Net Name : Old Net Name=NetR6_1 New Net Name=4
Change Net Name : Old Net Name=NetXS2_1 New Net Name=3c
Change Net Name : Old Net Name=NetXS2_2 New Net Name=4c
Change Net Name : Old Net Name=NetXS2_3 New Net Name=1c
Change Net Name : Old Net Name=NetXS2_4 New Net Name=2c
Change Class Name : Old Net Name=plp-cp_1a New Net Name=plp-cp_2a
Change Room Name: Old Name=plp-cp_1a New Name=plp-cp_2a
Change Room Scope: Old Scope=InComponentClass('plp-cp_1a') New Scope=InComponentClass('plp-cp_2a')
